"","STATE","DATE","POPULATION","NEWCONFIRMED","CUMCONFIRMED","NEWDEATHS","CUMDEATHS","UID","CODE3","SQMI","EVENT_CATG_S","SCORE","SHORT_DESCRIPT","RESTRICTIONS","PHASED_REOPENING","COUNTYLEVEL","FACECOVER_RQD","STUSAB","LATITUDE","LONGITUDE","STATEFP","GNISID","NEWCD_NORM_500","NEWDEATHS_NORM500","REGION"
"11813","MISSOURI",2021-02-26,6191231,706,561987,15,8270,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,5.70161249031089,0.121139075573178,4
"11814","MISSOURI",2021-02-27,6191231,637,562624,12,8282,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,5.14437274267428,0.0969112604585421,4
"11815","MISSOURI",2021-02-28,6191231,296,562920,-1,8281,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,2.39047775797737,-0.00807593837154517,4
"11816","MISSOURI",2021-03-01,6191231,569,563489,2,8283,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,4.5952089334092,0.0161518767430903,4
"11817","MISSOURI",2021-03-02,6191231,650,564139,15,8298,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,5.24935994150436,0.121139075573178,4
"11818","MISSOURI",2021-03-03,6191231,695,564834,184,8482,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,5.6127771682239,1.48597266036431,4
"11819","MISSOURI",2021-03-04,6191231,754,565588,6,8488,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,6.08925753214506,0.048455630229271,4
"11820","MISSOURI",2021-03-05,6191231,625,566213,16,8504,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,5.04746148221573,0.129215013944723,4
"11821","MISSOURI",2021-03-06,6191231,628,566841,8,8512,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,5.07168929733037,0.0646075069723614,4
"11822","MISSOURI",2021-03-07,6191231,376,567217,2,8514,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,3.03655282770099,0.0161518767430903,4
